metodo;cluster;eh_ruido;quantidade;percentual_base;target_0_quantidade;target_1_quantidade;target_1_percentual;posse_carro_quantidade;posse_carro_percentual;name_family_status_cod_moda;name_family_status_cod_moda_frequencia;AMT_CREDIT_media;AMT_CREDIT_mediana;AMT_CREDIT_desvio_padrao;AMT_INCOME_TOTAL_media;AMT_INCOME_TOTAL_mediana;AMT_INCOME_TOTAL_desvio_padrao;CNT_CHILDREN_media;CNT_CHILDREN_mediana;CNT_CHILDREN_desvio_padrao;AGE_YEARS_media;AGE_YEARS_mediana;AGE_YEARS_desvio_padrao;CREDIT_INCOME_RATIO_media;CREDIT_INCOME_RATIO_mediana;CREDIT_INCOME_RATIO_desvio_padrao;REGION_RATING_CLIENT_media;REGION_RATING_CLIENT_mediana;REGION_RATING_CLIENT_desvio_padrao;SER_CREDITOS_ATIVOS_media;SER_CREDITOS_ATIVOS_mediana;SER_CREDITOS_ATIVOS_desvio_padrao;SER_DIVIDA_ATRASADA_media;SER_DIVIDA_ATRASADA_mediana;SER_DIVIDA_ATRASADA_desvio_padrao;distancia_media_centro;distancia_mediana_centro;dispersao_interna_media_quadratica;centro_AMT_CREDIT_TRANSFORMADO;centro_CNT_CHILDREN_TRANSFORMADO;centro_FLAG_OWN_CAR_COD_TRANSFORMADO;centro_AGE_YEARS_TRANSFORMADO;centro_CREDIT_INCOME_RATIO_TRANSFORMADO;centro_SER_CREDITOS_ATIVOS_TRANSFORMADO;possiveis_outliers_iqr;percentual_possiveis_outliers_iqr
kmeans;cluster1;False;583;5.83;532;51;8.747855917667238;4;0.6861063464837049;2;457;564760.5205831904;495000.0;362067.84185302595;151837.8190394511;135000.0;80643.34225131343;2.188679245283019;2.0;0.4748761513689105;35.95360205831904;35.75;5.190266835216834;4.1976233344768445;3.333333;2.92329903802539;2.097770154373928;2.0;0.5067026707693111;1.7238421955403087;1.0;1.7422082767345355;51.05500857632933;0.0;1178.2692278946245;0.4680595222714767;0.429388446455298;0.26340081057035464;0.35812885059695404;0.8754716981132136;0.00686106346483705;0.6945063846506085;0.3127211132375956;0.22674284304180164;150;25.728987993138936
kmeans;cluster2;False;765;7.6499999999999995;706;59;7.712418300653595;6;0.7843137254901961;2;562;1240252.5705882353;1152000.0;389279.2961179164;181989.18823529413;157500.0;112566.18948111212;0.2130718954248366;0.0;0.43152790923336454;47.768653594771244;47.45;6.8909979133948225;8.088807474509805;7.546667;3.378295940436871;1.9908496732026144;2.0;0.561570287769269;1.550326797385621;1.0;1.4931398180010913;1.6821764705882354;0.0;29.867280303436615;0.5135263070116401;0.4745847646670109;0.31457500515084375;0.8235608752998893;0.08522875816993446;0.00784313725490196;1.2458264679805433;0.6029450651673592;0.2039197709584591;247;32.287581699346404
kmeans;cluster3;False;1582;15.82;1498;84;5.3097345132743365;0;0.0;2;789;466607.4548040455;427882.5;276837.6197465262;135524.04235145386;114750.0;72464.6338043219;0.01390644753476612;0.0;0.12748245443447123;60.624506953223765;60.72;3.887177136198827;3.846832222503161;3.235294;2.338757205644323;2.056257901390645;2.0;0.47318550317510194;1.1112515802781289;1.0;1.1537195360168238;11.90992414664981;0.0;394.4912306569937;0.3332901904319516;0.32639362513948916;0.12526359410104912;0.2904987724397845;0.005562579013906449;0.0;1.8457129875604426;0.2865573596975288;0.14616671021211597;151;9.544879898862199
kmeans;cluster4;False;1264;12.64;1174;90;7.120253164556963;0;0.0;2;744;409093.5118670886;382794.75;209717.34215420036;150100.0526107595;135000.0;72803.01598210107;0.17800632911392406;0.0;0.3847329702432775;45.91806170886076;45.730000000000004;4.136951608060224;3.037130147151899;2.828074;1.6507208675448224;2.0419303797468356;2.0;0.48800147472083044;1.1463607594936709;1.0;1.1367061008431854;1.3453006329113923;0.0;22.83890781024723;0.330672669910969;0.33328915256972336;0.11924683356485097;0.25087013297674843;0.07120253164556978;0.0;1.159473186354808;0.2261657339770911;0.15078474029212624;292;23.10126582278481
kmeans;cluster5;False;775;7.75;686;89;11.483870967741936;0;0.0;2;506;500414.38258064515;432990.0;327023.9949330389;308533.7148387097;135000.0;4198028.566802639;1.0051612903225806;1.0;0.07170275672057758;32.684051612903225;32.44;4.797684744964111;3.41057224516129;3.0;2.044501180438203;2.0709677419354837;2.0;0.5222402228661266;1.7535483870967743;1.0;1.7207983476877868;6.973548387096774;0.0;143.7037138502119;0.38907524369403274;0.3638511650999966;0.17597061827900204;0.3137926466518217;0.4020645161290316;0.0;0.5419409202972179;0.25401891121077214;0.2306501997284422;73;9.419354838709678
kmeans;cluster6;False;1992;19.919999999999998;1812;180;9.036144578313253;1992;100.0;2;1418;596512.7439759036;508495.5;391348.8207457207;193145.3810240964;180000.0;100596.86502481374;0.7816265060240963;1.0;0.8463018288975986;34.09536646586346;34.025000000000006;5.811630371965474;3.4315574402610447;2.8091555;2.3101568113657303;2.0542168674698793;2.0;0.4941366804051025;1.890562248995984;2.0;1.7266985785177766;113.92938253012048;0.0;2821.7279942775667;0.5537861335229817;0.5319110813834373;0.3419481869953303;0.3800069787294439;0.3126506024096344;1.0;0.6077964284122866;0.25558409189477244;0.2486721002617547;295;14.809236947791165
kmeans;cluster7;False;1124;11.24;981;143;12.722419928825623;0;0.0;2;489;467191.05293594307;397093.5;296153.36132932873;160112.11788256228;135000.0;77272.66474141268;0.0;0.0;0.0;29.832811387900357;29.575000000000003;4.5404109436225335;3.201419;2.6846769999999998;2.0092406921519417;2.0631672597864767;2.0;0.5155767111759406;1.51067615658363;1.0;1.575884572900837;280.63673487544486;0.0;7097.1506931527765;0.36100171799242375;0.3377841472232026;0.15181532441715107;0.290900887105886;0.0;0.0;0.4088948651367788;0.23841921734248617;0.1987043869475957;141;12.544483985765126
kmeans;cluster8;False;1390;13.900000000000002;1314;76;5.467625899280575;1390;100.0;2;1063;760527.8902877698;675000.0;457557.70240675594;196827.8989208633;171000.0;120756.77173937915;0.13525179856115108;0.0;0.40209374801927333;52.69097122302158;52.24;6.359172611737061;4.372219404316547;3.7933;2.7552595156244535;2.014388489208633;2.0;0.5214700866505133;1.823021582733813;1.0;1.7980197309088668;61.74106834532373;0.0;1742.6494734733258;0.5192316384905492;0.49267943568377465;0.3112538775614878;0.4930177856357729;0.054100719424460424;1.0;1.4755142147170475;0.32574336033686896;0.23978824608482546;284;20.431654676258994
kmeans;cluster9;False;525;5.25;474;51;9.714285714285714;3;0.5714285714285714;2;316;613678.4657142857;585000.0;310168.6847553448;183343.7142857143;162000.0;81372.81738324952;0.08;0.0;0.27849102662096126;53.139409523809526;53.36;5.943689018992269;3.7105511276190475;3.422857;2.0069919975617236;2.0495238095238095;2.0;0.5107851704651764;5.230476190476191;5.0;1.9649176803029533;246.71854285714286;0.0;3530.196163717356;0.4342601809855781;0.398205706994457;0.22946439679688768;0.3918346184834937;0.03200000000000001;0.005714285714285714;1.4964394760750679;0.27639283483640326;0.6879823715646394;92;17.523809523809526
