K;selecionado;seed;max_iteracoes;kmeans_runs_internos;desvio_padrao_minimo;num_slots;log_likelihood;tempo_addcluster_segundos;sha256_arff;sha256_csv;observacao
8;False;42;100;10;0.000001;1;2.54478;2.786408;7d2f5002f27795639e93fe388651fa14b00f859cd29d9974b38a2ee1dbf0e898;63281aa2981495d3581ac7aa456e910db7344d6bdb153f3d89bc47756f893769;Log-likelihood ligeiramente inferior ao K igual a 9.
9;True;42;100;10;0.000001;1;2.56187;3.300190;b12d5a07d2aea3f9b47c1eaee9ec87b425d4b3e80ad073cbcde6560aa08b1306;05109a8a61e4cd6fd9e91f2faa3a9a16d20b7f173de024b47b3b132de01675d2;Maior log-likelihood registrado entre K=8 e K=9 e número de grupos comparável aos demais métodos; log textual bruto não preservado.
10;False;42;100;10;0.000001;1;-0.29589;3.394190;baecf18c6eb870e6b26bcdcc43d9ff5289fce2b6bdc56e46ed378d0aa0b110f4;9add6eaaa4dd744cbbf13df7082c92486ebc89bc56de54e9241516eb39cbd8a4;Valor anômalo transcrito do WEKA; ARFF comprova execução e rótulos, mas o log textual bruto não foi preservado para confirmar convergência ou avisos.
