teste;selecionado;arquivo;epsilon;minPoints;distancia;normalizacao_weka_desativada;seed;clusters;ruidos;percentual_ruidos;tempo_segundos;sha256;observacao
01;False;base_clusterizada_dbscan_teste_01.arff;0.25;6;weka.core.EuclideanDistance -R first-last -D;True;NAO_APLICAVEL;9;396;3.96;7.805164;84883c3786dfb76dbab328b3c2cb5fc582463859596c9ff1f0bce98f8fb948ac;Raio abaixo do joelho e maior quantidade de ruídos.
02;True;base_clusterizada_dbscan_teste_02.arff;0.274264329676;6;weka.core.EuclideanDistance -R first-last -D;True;NAO_APLICAVEL;9;296;2.96;7.739836;cdc80359d65a375ac44162931d1eec0678da1f015950effa858ac4367b3be0ce;Configuração no joelho da curva do sexto vizinho e escolhida como referência.
03;False;base_clusterizada_dbscan_teste_03.arff;0.30;6;weka.core.EuclideanDistance -R first-last -D;True;NAO_APLICAVEL;9;217;2.17;6.491038;6b9529fb0c6027f9fc142baf30ab812647e60f400e9245dbca6627793095f576;Raio acima do joelho reduz ruídos mas absorve mais pontos por densidade.
