K;selecionado;seed;inicializacao;max_iteracoes;iteracoes_executadas;distancia;normalizacao_weka_desativada;num_slots;soma_erros_quadraticos;tempo_addcluster_segundos;sha256_arff;sha256_csv;observacao
8;False;42;random_init_0;500;37;weka.core.EuclideanDistance -R first-last -D;True;1;2386.976059874797;1.816427;919c19de73369b6d10bdaa8b96dfbbfa4820f89954cc662d41e1a83c9fe5c2dc;febf697091316e6a4bf447685c022368560f1db4a76a2daa062ea9c694a51ca8;Menor número de grupos e maior SSE entre os testes.
9;True;42;random_init_0;500;62;weka.core.EuclideanDistance -R first-last -D;True;1;2284.48934136591;1.254532;4d806fefcdb44b2459b66401ed0c98615b96373d2439b202b774cd3a594aaceb;2f027aa227bbc60d9b474bddd2f30fe1dca2b2b041363790692e02e7ba29df8f;Escolhido como compromisso: maior Silhouette entre K=8/K=9/K=10, alta entropia dos tamanhos e comparabilidade com os nove grupos densos do DBSCAN.
10;False;42;random_init_0;500;57;weka.core.EuclideanDistance -R first-last -D;True;1;2172.7116241931167;1.148930;252881349e9d83b9cfa7f382009ca843054cf4bbfb7c44a6f36dd40581217f59;d7a4da9c06920e47775a18191ce3be72937a02e41e0be4234804b0e00ede1b2a;Menor SSE esperado com mais clusters mas sem cotovelo claro no intervalo testado.
