ordem;percentil;distancia_sexto_vizinho;distancia_geometrica_normalizada;eh_joelho
1;0.0;0.022780242612293635;0.0;False
2;0.010001000100010001;0.024234818801051074;-0.0009805979919092888;False
3;0.020002000200020003;0.02468574278290151;-0.0012155804531454627;False
4;0.030003000300030006;0.02634173680945368;-0.0023458122195643147;False
5;0.040004000400040006;0.026379216299898863;-0.0022736458181351897;False
6;0.05000500050005;0.02689675910005929;-0.0025581195525685757;False
7;0.06000600060006001;0.027791324033666024;-0.00312268389624936;False
8;0.07000700070007;0.02800164595672161;-0.003178922535158654;False
9;0.08000800080008001;0.02822161008064122;-0.003242324387245391;False
10;0.09000900090009001;0.0284290419133601;-0.003296415971402784;False
11;0.1000100010001;0.028586039221069795;-0.0033130396310439144;False
12;0.11001100110011;0.028630210180157736;-0.0032458443370449496;False
13;0.12001200120012002;0.0287076520973131;-0.00320336611424328;False
14;0.13001300130013002;0.02906736615410101;-0.003370588512571078;False
15;0.14001400140014;0.029232970846082947;-0.0033936066177658467;False
16;0.15001500150015;0.029527620605137077;-0.003512492599804428;False
17;0.16001600160016002;0.029864013055089345;-0.003662389322826338;False
18;0.17001700170017;0.02994482362705195;-0.0036224136814213635;False
19;0.18001800180018002;0.030176181681103344;-0.003694280110383633;False
20;0.19001900190019003;0.030245760366304143;-0.0036459602744950198;False
21;0.2000200020002;0.030245760366304143;-0.00354595027349492;False
22;0.21002100210021002;0.030343783491048403;-0.003518761877101923;False
23;0.22002200220022;0.03075245905168475;-0.0037223578891409964;False
24;0.23002300230023;0.03122768664031047;-0.003975395555694625;False
25;0.24002400240024005;0.031312619735005785;-0.00393848254590039;False
26;0.25002500250025006;0.031834457091049;-0.0042261467157669996;False
27;0.26002600260026004;0.03184255209090821;-0.004132150508762754;False
28;0.27002700270027;0.0321648715374243;-0.004271592365195403;False
29;0.28002800280028;0.03232306887876056;-0.004289107532575113;False
30;0.29002900290029;0.03251690741631908;-0.0043331006265236085;False
31;0.3000300030003;0.032559137078556635;-0.0042644631386338375;False
32;0.31003100310031007;0.032663764279003527;-0.0042421809252549715;False
33;0.32003200320032005;0.03271664581829188;-0.004181456741301803;False
34;0.33003300330033003;0.03303885268655619;-0.004320814963092523;False
35;0.34003400340034;0.033116513312521946;-0.004278499219568639;False
36;0.35003500350035005;0.03315462823033615;-0.004206804878592026;False
37;0.36003600360036003;0.03325488097943409;-0.004181272875254542;False
38;0.37003700370037007;0.03325488097943409;-0.004081262874254442;False
39;0.38003800380038005;0.033352120612340566;-0.004053492419974871;False
40;0.39003900390039004;0.033418281928419696;-0.004002633812713442;False
41;0.4000400040004;0.03342859159274445;-0.003910282885029439;False
42;0.41004100410041006;0.03361808977871175;-0.003951051521807687;False
43;0.42004200420042004;0.033796358240338345;-0.003983477570569903;False
