metodo;registros;registros_metricas;clusters;ruidos;silhouette;davies_bouldin;calinski_harabasz;entropia_tamanhos_normalizada;menor_cluster;maior_cluster;soma_clusters_sem_ruido;silhouette_amostra;seed;configuracao;arquivo
kmeans;10000;10000;8;0;0.26110802369049724;1.434864841067574;3337.2571754461637;0.9657786144298327;583;1992;10000;3000;42;K=8;base_clusterizada_kmeans_k8.csv
kmeans;10000;10000;9;0;0.263382438709592;1.3809713570965798;3106.870162537691;0.9601891006880694;525;1992;10000;3000;42;K=9;base_clusterizada_kmeans_k9.csv
kmeans;10000;10000;10;0;0.26089282290999205;1.2911297707885498;2960.8281581694864;0.9574835594078175;459;1987;10000;3000;42;K=10;base_clusterizada_kmeans_k10.csv
em;10000;10000;8;0;0.12362040198297419;1.5257892526010652;1989.783051316658;0.8214892357123181;257;4406;10000;3000;42;K=8;base_clusterizada_em_k8.csv
em;10000;10000;9;0;0.1099362058746262;1.5046418205462748;1862.1770650560757;0.8092383751926119;257;4359;10000;3000;42;K=9;base_clusterizada_em_k9.csv
em;10000;10000;10;0;0.22451135258860702;1.3857509582416592;2659.300779806131;0.97226132684936;583;2016;10000;3000;42;K=10;base_clusterizada_em_k10.csv
